,precision@1,precision@3,precision@5,precision@10,precision@30,MAP
count,90.0,90.0,90.0,90.0,90.0,90.0
mean,0.9637759828256101,0.9637759828256101,0.9637759828256101,0.9637916543504493,0.9639334330075695,0.9638433289867265
std,0.018960401923933376,0.018960401923933376,0.018960401923933376,0.018973574023291022,0.01895932838636695,0.01895698423376542
min,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9231137599331941
25%,0.952023093806661,0.952023093806661,0.952023093806661,0.952023093806661,0.952023093806661,0.9520408419954012
50%,0.9630113081111267,0.9630113081111267,0.9630113081111267,0.9630113081111267,0.9634151428770076,0.9631513552621267
75%,0.9787984981226533,0.9787984981226533,0.9787984981226533,0.9787984981226533,0.9787984981226533,0.9788862146033332
max,1.0,1.0,1.0,1.0,1.0,1.0
