,precision@1,precision@3,precision@5,precision@10,precision@30,MAP
count,90.0,90.0,90.0,90.0,90.0,90.0
mean,0.9928887538978166,0.9928887538978166,0.9928916058257197,0.9928916058257197,0.9929172074642246,0.9929002668015069
std,0.0054442833327524994,0.0054442833327524994,0.005443766617038241,0.005443766617038241,0.005450112938183004,0.005437656746358007
min,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791799702000851
25%,0.9899328859060402,0.9899328859060402,0.9899328859060402,0.9899328859060402,0.9899328859060402,0.9899414372181268
50%,0.9929024783397139,0.9929024783397139,0.9929024783397139,0.9929024783397139,0.9929024783397139,0.9929041669634533
75%,0.9975191427565571,0.9975191427565571,0.9975191427565571,0.9975191427565571,0.9975191427565571,0.9975228448156654
max,1.0,1.0,1.0,1.0,1.0,1.0
