,precision@1,precision@3,precision@5,precision@10,precision@30,MAP
count,90.0,90.0,90.0,90.0,90.0,90.0
mean,0.9959885786631962,0.9959885786631962,0.9959885786631962,0.9959885786631962,0.9959885786631962,0.995991524416014
std,0.00459418023746646,0.00459418023746646,0.00459418023746646,0.00459418023746646,0.00459418023746646,0.0045912839751307
min,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777851573858638
25%,0.9940554821664465,0.9940554821664465,0.9940554821664465,0.9940554821664465,0.9940554821664465,0.9940602596647117
50%,0.9966117216117216,0.9966117216117216,0.9966117216117216,0.9966117216117216,0.9966117216117216,0.9966131671507874
75%,1.0,1.0,1.0,1.0,1.0,1.0
max,1.0,1.0,1.0,1.0,1.0,1.0
